Rank, IGN, Tier, LP, Win-Lose, Winrate, Most Played, KDA, Avg CS, KP, 
rank 63,Kieran Tierney,challenger,973 LP,72W 55L,WR 57%,Kalista,3.16:1 KDA,CS 199.4 (8.2),
rank 64,TakeSet sama,challenger,962 LP,114W 94L,WR 55%,Ezreal,3.81:1 KDA,CS 219.4 (8.7),
rank 65,betrayal2,challenger,959 LP,212W 161L,WR 57%,Zed,2.49:1 KDA,CS 221.6 (8.4),
rank 66,MafroMafroMafro,challenger,956 LP,127W 97L,WR 57%,Graves,2.75:1 KDA,CS 182 (7.1),
rank 67,Peng04,challenger,954 LP,117W 96L,WR 55%,Jayce,2.36:1 KDA,CS 206 (8.3),
rank 68,clearlove fanboi,challenger,952 LP,126W 104L,WR 55%,Yone,2.71:1 KDA,CS 215.2 (8.7),
rank 69,V1T Upset,challenger,950 LP,92W 65L,WR 59%,Kai'Sa,3.63:1 KDA,CS 225.9 (9.1),
rank 70,G2 Dracarys,challenger,946 LP,99W 80L,WR 55%,Naafiri,1.81:1 KDA,CS 178.9 (7.4),
rank 71,RVJCXIRSDI,challenger,943 LP,102W 61L,WR 63%,Alistar,4.11:1 KDA,CS 25.5 (1),
rank 72,Rayito,challenger,934 LP,75W 50L,WR 60%,Sivir,3.9:1 KDA,CS 241.1 (9.3),
rank 73,TTV KERBEROS LOL,challenger,934 LP,140W 112L,WR 56%,Olaf,1.73:1 KDA,CS 212.4 (8.3),
rank 74,Ag0nyPa1n,challenger,933 LP,215W 193L,WR 53%,Viktor,2.53:1 KDA,CS 202.6 (8.1),
rank 75,Envy Carry,challenger,932 LP,130W 107L,WR 55%,Jayce,3.26:1 KDA,CS 203.5 (7.8),
rank 76,NICKI NICOLEE,challenger,931 LP,84W 57L,WR 60%,LeBlanc,4.4:1 KDA,CS 213 (8.7),
rank 77,MCK Six10,challenger,927 LP,66W 35L,WR 65%,K'Sante,2.74:1 KDA,CS 176.7 (7.6),
rank 78,Nillee,challenger,926 LP,205W 180L,WR 53%,Jax,2.32:1 KDA,CS 201.8 (7.9),
rank 79,ShadowZerô,challenger,924 LP,205W 179L,WR 53%,Poppy,2.21:1 KDA,CS 36.6 (1.5),
rank 80,Unméi,challenger,921 LP,91W 61L,WR 60%,Alistar,3.64:1 KDA,CS 28.1 (1.2),
rank 81,ChestbicepsS,challenger,918 LP,100W 64L,WR 61%,Lulu,4.83:1 KDA,CS 9.9 (0.4),
rank 82,MHSC FSZ,challenger,910 LP,127W 99L,WR 56%,Neeko,3.7:1 KDA,CS 180.4 (7.1),
rank 83,WAO KING 1,challenger,909 LP,253W 207L,WR 55%,Olaf,2.34:1 KDA,CS 157.3 (6.3),
rank 84,FOCUSEDPRACTICE,challenger,903 LP,185W 161L,WR 53%,Taliyah,3.09:1 KDA,CS 201 (7.8),
rank 85,eltuko,challenger,903 LP,118W 95L,WR 55%,Taliyah,3.4:1 KDA,CS 189.6 (7),
rank 86,Yûichi Katagiri,challenger,900 LP,125W 101L,WR 55%,Lee Sin,4.31:1 KDA,CS 150 (6.4),
rank 87,i can fight,challenger,897 LP,130W 115L,WR 53%,Kai'Sa,3.05:1 KDA,CS 227.8 (8.8),
rank 88,DenSygeKamel69,challenger,896 LP,211W 182L,WR 54%,Udyr,2.82:1 KDA,CS 171.8 (7),
rank 89,chksf,challenger,895 LP,190W 156L,WR 55%,Jax,1.53:1 KDA,CS 174.8 (6.9),
